# %ECSV 0.9
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# meta: !!omap
# - comment: [vej = 0.25999999999999995, mej = 0.023201562933498177, Ye = 0.45, redshift = 0.0]
# schema: astropy-2.0
time sdss_u sdss_g sdss_r sdss_i sdss_z PS1_y ukirt_J ukirt_H ukirt_K johnson_U johnson_B johnson_V johnson_R johnson_I
2.550000 -7.118209 -10.417264 -12.316422 -13.398418 -13.987025 -14.317960 -14.866459 -15.148195 -15.158063 -7.527458 -9.527075 -11.543296 -12.532596 -14.042457
2.600000 -6.860795 -10.237171 -12.185400 -13.298674 -13.906368 -14.249218 -14.821625 -15.123997 -15.146783 -7.279304 -9.325406 -11.391659 -12.407553 -13.963720
2.650000 -6.705369 -10.123377 -12.098030 -13.228148 -13.846125 -14.195395 -14.780695 -15.094206 -15.123972 -7.128863 -9.199995 -11.293188 -12.323403 -13.904512
2.700000 -6.446325 -9.941668 -11.965405 -13.126820 -13.763906 -14.125111 -14.734392 -15.068644 -15.111418 -6.879080 -8.996706 -11.139941 -12.196760 -13.824216
2.750000 -6.185341 -9.758328 -11.831348 -13.024190 -13.680473 -14.053672 -14.687070 -15.042208 -15.098097 -6.627394 -8.791699 -10.985178 -12.068709 -13.742715
2.800000 -6.032750 -9.646061 -11.744677 -12.953844 -13.620100 -13.999533 -14.645470 -15.011480 -15.074202 -6.479631 -8.668180 -10.887753 -11.985157 -13.683346
2.850000 -5.770537 -9.461445 -11.609317 -12.849902 -13.535358 -13.926793 -14.596889 -14.983864 -15.059775 -6.226711 -8.461911 -10.731698 -11.855802 -13.600537
2.900000 -5.620562 -9.350768 -11.523586 -12.780084 -13.475266 -13.872783 -14.555128 -14.952742 -15.035352 -6.081442 -8.340267 -10.635485 -11.773111 -13.541425
2.950000 -5.357374 -9.165090 -11.387111 -12.675000 -13.389371 -13.798891 -14.505417 -14.924057 -15.019918 -5.827536 -8.132961 -10.478337 -11.642634 -13.457463
3.000000 -5.210228 -9.056184 -11.302481 -12.605858 -13.329699 -13.745144 -14.463612 -14.892645 -14.995062 -5.684970 -8.013384 -10.383507 -11.560963 -13.398745
3.050000 -4.946310 -8.869647 -11.165067 -12.499790 -13.242799 -13.670238 -14.412894 -14.862996 -14.978715 -5.430318 -7.805254 -10.225453 -11.429538 -13.313776
